"tanggal","provinsi","kelompok_umur","jumlah"
"2021-03-24","DKI JAKARTA","x0_5",11378
"2021-03-24","DKI JAKARTA","x6_18",31875
"2021-03-24","DKI JAKARTA","x19_30",94747
"2021-03-24","DKI JAKARTA","x31_45",109634
"2021-03-24","DKI JAKARTA","x46_59",78548
"2021-03-24","DKI JAKARTA","x60_up",40468
"2021-03-24","DKI JAKARTA","tidak_diketahui",7111
"2021-03-24","JAWA BARAT","x0_5",8089
"2021-03-24","JAWA BARAT","x6_18",28012
"2021-03-24","JAWA BARAT","x19_30",58587
"2021-03-24","JAWA BARAT","x31_45",67580
"2021-03-24","JAWA BARAT","x46_59",51711
"2021-03-24","JAWA BARAT","x60_up",21758
"2021-03-24","JAWA BARAT","tidak_diketahui",8012
"2021-03-24","JAWA TENGAH","x0_5",4730
"2021-03-24","JAWA TENGAH","x6_18",16413
"2021-03-24","JAWA TENGAH","x19_30",38349
"2021-03-24","JAWA TENGAH","x31_45",44731
"2021-03-24","JAWA TENGAH","x46_59",39770
"2021-03-24","JAWA TENGAH","x60_up",22026
"2021-03-24","JAWA TENGAH","tidak_diketahui",248
"2021-03-24","JAWA TIMUR","x0_5",2434
"2021-03-24","JAWA TIMUR","x6_18",9236
"2021-03-24","JAWA TIMUR","x19_30",26359
"2021-03-24","JAWA TIMUR","x31_45",37398
"2021-03-24","JAWA TIMUR","x46_59",39594
"2021-03-24","JAWA TIMUR","x60_up",21498
"2021-03-24","JAWA TIMUR","tidak_diketahui",958
"2021-03-24","KALIMANTAN TIMUR","x0_5",1746
"2021-03-24","KALIMANTAN TIMUR","x6_18",5180
"2021-03-24","KALIMANTAN TIMUR","x19_30",16421
"2021-03-24","KALIMANTAN TIMUR","x31_45",20425
"2021-03-24","KALIMANTAN TIMUR","x46_59",11822
"2021-03-24","KALIMANTAN TIMUR","x60_up",4200
"2021-03-24","KALIMANTAN TIMUR","tidak_diketahui",2367
"2021-03-24","SULAWESI SELATAN","x0_5",1279
"2021-03-24","SULAWESI SELATAN","x6_18",4606
"2021-03-24","SULAWESI SELATAN","x19_30",16449
"2021-03-24","SULAWESI SELATAN","x31_45",18267
"2021-03-24","SULAWESI SELATAN","x46_59",10725
"2021-03-24","SULAWESI SELATAN","x60_up",4816
"2021-03-24","SULAWESI SELATAN","tidak_diketahui",3075
"2021-03-24","BALI","x0_5",842
"2021-03-24","BALI","x6_18",3182
"2021-03-24","BALI","x19_30",9335
"2021-03-24","BALI","x31_45",9908
"2021-03-24","BALI","x46_59",9757
"2021-03-24","BALI","x60_up",5036
"2021-03-24","BALI","tidak_diketahui",466
"2021-03-24","BANTEN","x0_5",941
"2021-03-24","BANTEN","x6_18",3545
"2021-03-24","BANTEN","x19_30",8906
"2021-03-24","BANTEN","x31_45",10743
"2021-03-24","BANTEN","x46_59",8388
"2021-03-24","BANTEN","x60_up",2970
"2021-03-24","BANTEN","tidak_diketahui",103
"2021-03-24","RIAU","x0_5",1255
"2021-03-24","RIAU","x6_18",3853
"2021-03-24","RIAU","x19_30",8299
"2021-03-24","RIAU","x31_45",10541
"2021-03-24","RIAU","x46_59",7076
"2021-03-24","RIAU","x60_up",2738
"2021-03-24","RIAU","tidak_diketahui",103
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA","x0_5",1086
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA","x6_18",3336
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA","x19_30",7171
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA","x31_45",7710
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA","x46_59",7597
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA","x60_up",4558
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA","tidak_diketahui",596
"2021-03-24","SUMATERA BARAT","x0_5",823
"2021-03-24","SUMATERA BARAT","x6_18",3282
"2021-03-24","SUMATERA BARAT","x19_30",7431
"2021-03-24","SUMATERA BARAT","x31_45",8380
"2021-03-24","SUMATERA BARAT","x46_59",6812
"2021-03-24","SUMATERA BARAT","x60_up",3221
"2021-03-24","SUMATERA BARAT","tidak_diketahui",1064
"2021-03-24","SUMATERA UTARA","x0_5",553
"2021-03-24","SUMATERA UTARA","x6_18",2249
"2021-03-24","SUMATERA UTARA","x19_30",6240
"2021-03-24","SUMATERA UTARA","x31_45",8053
"2021-03-24","SUMATERA UTARA","x46_59",6130
"2021-03-24","SUMATERA UTARA","x60_up",3100
"2021-03-24","SUMATERA UTARA","tidak_diketahui",493
"2021-03-24","KALIMANTAN SELATAN","x0_5",748
"2021-03-24","KALIMANTAN SELATAN","x6_18",2416
"2021-03-24","KALIMANTAN SELATAN","x19_30",6885
"2021-03-24","KALIMANTAN SELATAN","x31_45",7695
"2021-03-24","KALIMANTAN SELATAN","x46_59",5638
"2021-03-24","KALIMANTAN SELATAN","x60_up",2102
"2021-03-24","KALIMANTAN SELATAN","tidak_diketahui",669
"2021-03-24","PAPUA","x0_5",553
"2021-03-24","PAPUA","x6_18",1619
"2021-03-24","PAPUA","x19_30",5369
"2021-03-24","PAPUA","x31_45",6258
"2021-03-24","PAPUA","x46_59",3722
"2021-03-24","PAPUA","x60_up",1071
"2021-03-24","PAPUA","tidak_diketahui",496
"2021-03-24","SUMATERA SELATAN","x0_5",504
"2021-03-24","SUMATERA SELATAN","x6_18",1371
"2021-03-24","SUMATERA SELATAN","x19_30",3796
"2021-03-24","SUMATERA SELATAN","x31_45",4973
"2021-03-24","SUMATERA SELATAN","x46_59",3695
"2021-03-24","SUMATERA SELATAN","x60_up",2303
"2021-03-24","SUMATERA SELATAN","tidak_diketahui",409
"2021-03-24","KALIMANTAN TENGAH","x0_5",541
"2021-03-24","KALIMANTAN TENGAH","x6_18",1828
"2021-03-24","KALIMANTAN TENGAH","x19_30",4254
"2021-03-24","KALIMANTAN TENGAH","x31_45",5092
"2021-03-24","KALIMANTAN TENGAH","x46_59",3319
"2021-03-24","KALIMANTAN TENGAH","x60_up",1098
"2021-03-24","KALIMANTAN TENGAH","tidak_diketahui",293
"2021-03-24","SULAWESI UTARA","x0_5",260
"2021-03-24","SULAWESI UTARA","x6_18",984
"2021-03-24","SULAWESI UTARA","x19_30",3636
"2021-03-24","SULAWESI UTARA","x31_45",4697
"2021-03-24","SULAWESI UTARA","x46_59",3514
"2021-03-24","SULAWESI UTARA","x60_up",2041
"2021-03-24","SULAWESI UTARA","tidak_diketahui",149
"2021-03-24","LAMPUNG","x0_5",269
"2021-03-24","LAMPUNG","x6_18",996
"2021-03-24","LAMPUNG","x19_30",2819
"2021-03-24","LAMPUNG","x31_45",3891
"2021-03-24","LAMPUNG","x46_59",3438
"2021-03-24","LAMPUNG","x60_up",1895
"2021-03-24","LAMPUNG","tidak_diketahui",393
"2021-03-24","NUSA TENGGARA TIMUR","x0_5",226
"2021-03-24","NUSA TENGGARA TIMUR","x6_18",1120
"2021-03-24","NUSA TENGGARA TIMUR","x19_30",3441
"2021-03-24","NUSA TENGGARA TIMUR","x31_45",3672
"2021-03-24","NUSA TENGGARA TIMUR","x46_59",2266
"2021-03-24","NUSA TENGGARA TIMUR","x60_up",1081
"2021-03-24","NUSA TENGGARA TIMUR","tidak_diketahui",206
"2021-03-24","SULAWESI TENGAH","x0_5",213
"2021-03-24","SULAWESI TENGAH","x6_18",710
"2021-03-24","SULAWESI TENGAH","x19_30",3227
"2021-03-24","SULAWESI TENGAH","x31_45",3540
"2021-03-24","SULAWESI TENGAH","x46_59",2040
"2021-03-24","SULAWESI TENGAH","x60_up",922
"2021-03-24","SULAWESI TENGAH","tidak_diketahui",367
"2021-03-24","KALIMANTAN UTARA","x0_5",209
"2021-03-24","KALIMANTAN UTARA","x6_18",1104
"2021-03-24","KALIMANTAN UTARA","x19_30",3174
"2021-03-24","KALIMANTAN UTARA","x31_45",3613
"2021-03-24","KALIMANTAN UTARA","x46_59",1995
"2021-03-24","KALIMANTAN UTARA","x60_up",728
"2021-03-24","KALIMANTAN UTARA","tidak_diketahui",64
"2021-03-24","SULAWESI TENGGARA","x0_5",173
"2021-03-24","SULAWESI TENGGARA","x6_18",661
"2021-03-24","SULAWESI TENGGARA","x19_30",3243
"2021-03-24","SULAWESI TENGGARA","x31_45",3513
"2021-03-24","SULAWESI TENGGARA","x46_59",1793
"2021-03-24","SULAWESI TENGGARA","x60_up",726
"2021-03-24","SULAWESI TENGGARA","tidak_diketahui",116
"2021-03-24","ACEH","x0_5",198
"2021-03-24","ACEH","x6_18",533
"2021-03-24","ACEH","x19_30",2301
"2021-03-24","ACEH","x31_45",3406
"2021-03-24","ACEH","x46_59",2295
"2021-03-24","ACEH","x60_up",1037
"2021-03-24","ACEH","tidak_diketahui",21
"2021-03-24","NUSA TENGGARA BARAT","x0_5",239
"2021-03-24","NUSA TENGGARA BARAT","x6_18",603
"2021-03-24","NUSA TENGGARA BARAT","x19_30",2628
"2021-03-24","NUSA TENGGARA BARAT","x31_45",3018
"2021-03-24","NUSA TENGGARA BARAT","x46_59",1830
"2021-03-24","NUSA TENGGARA BARAT","x60_up",1020
"2021-03-24","NUSA TENGGARA BARAT","tidak_diketahui",23
"2021-03-24","KEPULAUAN RIAU","x0_5",256
"2021-03-24","KEPULAUAN RIAU","x6_18",804
"2021-03-24","KEPULAUAN RIAU","x19_30",2628
"2021-03-24","KEPULAUAN RIAU","x31_45",2898
"2021-03-24","KEPULAUAN RIAU","x46_59",1775
"2021-03-24","KEPULAUAN RIAU","x60_up",582
"2021-03-24","KEPULAUAN RIAU","tidak_diketahui",96
"2021-03-24","KEPULAUAN BANGKA BELITUNG","x0_5",399
"2021-03-24","KEPULAUAN BANGKA BELITUNG","x6_18",1370
"2021-03-24","KEPULAUAN BANGKA BELITUNG","x19_30",2107
"2021-03-24","KEPULAUAN BANGKA BELITUNG","x31_45",2619
"2021-03-24","KEPULAUAN BANGKA BELITUNG","x46_59",1571
"2021-03-24","KEPULAUAN BANGKA BELITUNG","x60_up",737
"2021-03-24","KEPULAUAN BANGKA BELITUNG","tidak_diketahui",19
"2021-03-24","PAPUA BARAT","x0_5",255
"2021-03-24","PAPUA BARAT","x6_18",769
"2021-03-24","PAPUA BARAT","x19_30",2588
"2021-03-24","PAPUA BARAT","x31_45",2711
"2021-03-24","PAPUA BARAT","x46_59",1285
"2021-03-24","PAPUA BARAT","x60_up",501
"2021-03-24","PAPUA BARAT","tidak_diketahui",40
"2021-03-24","MALUKU","x0_5",89
"2021-03-24","MALUKU","x6_18",580
"2021-03-24","MALUKU","x19_30",2037
"2021-03-24","MALUKU","x31_45",2570
"2021-03-24","MALUKU","x46_59",1383
"2021-03-24","MALUKU","x60_up",421
"2021-03-24","MALUKU","tidak_diketahui",203
"2021-03-24","JAMBI","x0_5",176
"2021-03-24","JAMBI","x6_18",755
"2021-03-24","JAMBI","x19_30",1573
"2021-03-24","JAMBI","x31_45",1718
"2021-03-24","JAMBI","x46_59",1216
"2021-03-24","JAMBI","x60_up",472
"2021-03-24","JAMBI","tidak_diketahui",61
"2021-03-24","KALIMANTAN BARAT","x0_5",132
"2021-03-24","KALIMANTAN BARAT","x6_18",536
"2021-03-24","KALIMANTAN BARAT","x19_30",1441
"2021-03-24","KALIMANTAN BARAT","x31_45",1616
"2021-03-24","KALIMANTAN BARAT","x46_59",1280
"2021-03-24","KALIMANTAN BARAT","x60_up",561
"2021-03-24","KALIMANTAN BARAT","tidak_diketahui",81
"2021-03-24","SULAWESI BARAT","x0_5",89
"2021-03-24","SULAWESI BARAT","x6_18",801
"2021-03-24","SULAWESI BARAT","x19_30",1527
"2021-03-24","SULAWESI BARAT","x31_45",1745
"2021-03-24","SULAWESI BARAT","x46_59",787
"2021-03-24","SULAWESI BARAT","x60_up",392
"2021-03-24","SULAWESI BARAT","tidak_diketahui",17
"2021-03-24","BENGKULU","x0_5",115
"2021-03-24","BENGKULU","x6_18",492
"2021-03-24","BENGKULU","x19_30",1247
"2021-03-24","BENGKULU","x31_45",1714
"2021-03-24","BENGKULU","x46_59",1142
"2021-03-24","BENGKULU","x60_up",584
"2021-03-24","BENGKULU","tidak_diketahui",23
"2021-03-24","GORONTALO","x0_5",84
"2021-03-24","GORONTALO","x6_18",249
"2021-03-24","GORONTALO","x19_30",1632
"2021-03-24","GORONTALO","x31_45",1755
"2021-03-24","GORONTALO","x46_59",961
"2021-03-24","GORONTALO","x60_up",349
"2021-03-24","GORONTALO","tidak_diketahui",45
"2021-03-24","MALUKU UTARA","x0_5",71
"2021-03-24","MALUKU UTARA","x6_18",240
"2021-03-24","MALUKU UTARA","x19_30",1261
"2021-03-24","MALUKU UTARA","x31_45",1471
"2021-03-24","MALUKU UTARA","x46_59",716
"2021-03-24","MALUKU UTARA","x60_up",269
"2021-03-24","MALUKU UTARA","tidak_diketahui",256
"2021-03-28","DKI JAKARTA","x0_5",11618
"2021-03-28","DKI JAKARTA","x6_18",32473
"2021-03-28","DKI JAKARTA","x19_30",96300
"2021-03-28","DKI JAKARTA","x31_45",111366
"2021-03-28","DKI JAKARTA","x46_59",79704
"2021-03-28","DKI JAKARTA","x60_up",41107
"2021-03-28","DKI JAKARTA","tidak_diketahui",7123
"2021-03-28","JAWA BARAT","x0_5",8195
"2021-03-28","JAWA BARAT","x6_18",28380
"2021-03-28","JAWA BARAT","x19_30",59277
"2021-03-28","JAWA BARAT","x31_45",68374
"2021-03-28","JAWA BARAT","x46_59",52452
"2021-03-28","JAWA BARAT","x60_up",22110
"2021-03-28","JAWA BARAT","tidak_diketahui",8000
"2021-03-28","JAWA TENGAH","x0_5",4755
"2021-03-28","JAWA TENGAH","x6_18",16516
"2021-03-28","JAWA TENGAH","x19_30",38559
"2021-03-28","JAWA TENGAH","x31_45",44983
"2021-03-28","JAWA TENGAH","x46_59",40020
"2021-03-28","JAWA TENGAH","x60_up",22195
"2021-03-28","JAWA TENGAH","tidak_diketahui",248
"2021-03-28","JAWA TIMUR","x0_5",2458
"2021-03-28","JAWA TIMUR","x6_18",9311
"2021-03-28","JAWA TIMUR","x19_30",26572
"2021-03-28","JAWA TIMUR","x31_45",37658
"2021-03-28","JAWA TIMUR","x46_59",39953
"2021-03-28","JAWA TIMUR","x60_up",21795
"2021-03-28","JAWA TIMUR","tidak_diketahui",959
"2021-03-28","KALIMANTAN TIMUR","x0_5",1782
"2021-03-28","KALIMANTAN TIMUR","x6_18",5277
"2021-03-28","KALIMANTAN TIMUR","x19_30",16631
"2021-03-28","KALIMANTAN TIMUR","x31_45",20730
"2021-03-28","KALIMANTAN TIMUR","x46_59",12034
"2021-03-28","KALIMANTAN TIMUR","x60_up",4292
"2021-03-28","KALIMANTAN TIMUR","tidak_diketahui",2345
"2021-03-28","SULAWESI SELATAN","x0_5",1289
"2021-03-28","SULAWESI SELATAN","x6_18",4622
"2021-03-28","SULAWESI SELATAN","x19_30",16496
"2021-03-28","SULAWESI SELATAN","x31_45",18313
"2021-03-28","SULAWESI SELATAN","x46_59",10756
"2021-03-28","SULAWESI SELATAN","x60_up",4837
"2021-03-28","SULAWESI SELATAN","tidak_diketahui",3073
"2021-03-28","BALI","x0_5",858
"2021-03-28","BALI","x6_18",3233
"2021-03-28","BALI","x19_30",9480
"2021-03-28","BALI","x31_45",10085
"2021-03-28","BALI","x46_59",9908
"2021-03-28","BALI","x60_up",5141
"2021-03-28","BALI","tidak_diketahui",466
"2021-03-28","BANTEN","x0_5",954
"2021-03-28","BANTEN","x6_18",3626
"2021-03-28","BANTEN","x19_30",9047
"2021-03-28","BANTEN","x31_45",10906
"2021-03-28","BANTEN","x46_59",8502
"2021-03-28","BANTEN","x60_up",3024
"2021-03-28","BANTEN","tidak_diketahui",103
"2021-03-28","RIAU","x0_5",1274
"2021-03-28","RIAU","x6_18",3915
"2021-03-28","RIAU","x19_30",8421
"2021-03-28","RIAU","x31_45",10702
"2021-03-28","RIAU","x46_59",7185
"2021-03-28","RIAU","x60_up",2791
"2021-03-28","RIAU","tidak_diketahui",103
"2021-03-28","DAERAH ISTIMEWA YOGYAKARTA","x0_5",1123
"2021-03-28","DAERAH ISTIMEWA YOGYAKARTA","x6_18",3406
"2021-03-28","DAERAH ISTIMEWA YOGYAKARTA","x19_30",7331
"2021-03-28","DAERAH ISTIMEWA YOGYAKARTA","x31_45",7893
"2021-03-28","DAERAH ISTIMEWA YOGYAKARTA","x46_59",7782
"2021-03-28","DAERAH ISTIMEWA YOGYAKARTA","x60_up",4680
"2021-03-28","DAERAH ISTIMEWA YOGYAKARTA","tidak_diketahui",596
"2021-03-28","SUMATERA BARAT","x0_5",838
"2021-03-28","SUMATERA BARAT","x6_18",3365
"2021-03-28","SUMATERA BARAT","x19_30",7525
"2021-03-28","SUMATERA BARAT","x31_45",8486
"2021-03-28","SUMATERA BARAT","x46_59",6901
"2021-03-28","SUMATERA BARAT","x60_up",3276
"2021-03-28","SUMATERA BARAT","tidak_diketahui",1064
"2021-03-28","SUMATERA UTARA","x0_5",559
"2021-03-28","SUMATERA UTARA","x6_18",2278
"2021-03-28","SUMATERA UTARA","x19_30",6321
"2021-03-28","SUMATERA UTARA","x31_45",8122
"2021-03-28","SUMATERA UTARA","x46_59",6201
"2021-03-28","SUMATERA UTARA","x60_up",3146
"2021-03-28","SUMATERA UTARA","tidak_diketahui",493
"2021-03-28","KALIMANTAN SELATAN","x0_5",768
"2021-03-28","KALIMANTAN SELATAN","x6_18",2484
"2021-03-28","KALIMANTAN SELATAN","x19_30",7132
"2021-03-28","KALIMANTAN SELATAN","x31_45",7956
"2021-03-28","KALIMANTAN SELATAN","x46_59",5811
"2021-03-28","KALIMANTAN SELATAN","x60_up",2186
"2021-03-28","KALIMANTAN SELATAN","tidak_diketahui",782
"2021-03-28","PAPUA","x0_5",563
"2021-03-28","PAPUA","x6_18",1660
"2021-03-28","PAPUA","x19_30",5452
"2021-03-28","PAPUA","x31_45",6371
"2021-03-28","PAPUA","x46_59",3784
"2021-03-28","PAPUA","x60_up",1103
"2021-03-28","PAPUA","tidak_diketahui",496
"2021-03-28","SUMATERA SELATAN","x0_5",504
"2021-03-28","SUMATERA SELATAN","x6_18",1392
"2021-03-28","SUMATERA SELATAN","x19_30",3874
"2021-03-28","SUMATERA SELATAN","x31_45",5114
"2021-03-28","SUMATERA SELATAN","x46_59",3779
"2021-03-28","SUMATERA SELATAN","x60_up",2365
"2021-03-28","SUMATERA SELATAN","tidak_diketahui",415
"2021-03-28","KALIMANTAN TENGAH","x0_5",565
"2021-03-28","KALIMANTAN TENGAH","x6_18",1895
"2021-03-28","KALIMANTAN TENGAH","x19_30",4366
"2021-03-28","KALIMANTAN TENGAH","x31_45",5236
"2021-03-28","KALIMANTAN TENGAH","x46_59",3425
"2021-03-28","KALIMANTAN TENGAH","x60_up",1138
"2021-03-28","KALIMANTAN TENGAH","tidak_diketahui",296
"2021-03-28","SULAWESI UTARA","x0_5",262
"2021-03-28","SULAWESI UTARA","x6_18",990
"2021-03-28","SULAWESI UTARA","x19_30",3656
"2021-03-28","SULAWESI UTARA","x31_45",4708
"2021-03-28","SULAWESI UTARA","x46_59",3532
"2021-03-28","SULAWESI UTARA","x60_up",2054
"2021-03-28","SULAWESI UTARA","tidak_diketahui",149
"2021-03-28","LAMPUNG","x0_5",273
"2021-03-28","LAMPUNG","x6_18",1021
"2021-03-28","LAMPUNG","x19_30",2847
"2021-03-28","LAMPUNG","x31_45",3932
"2021-03-28","LAMPUNG","x46_59",3478
"2021-03-28","LAMPUNG","x60_up",1934
"2021-03-28","LAMPUNG","tidak_diketahui",393
"2021-03-28","NUSA TENGGARA TIMUR","x0_5",227
"2021-03-28","NUSA TENGGARA TIMUR","x6_18",1138
"2021-03-28","NUSA TENGGARA TIMUR","x19_30",3478
"2021-03-28","NUSA TENGGARA TIMUR","x31_45",3722
"2021-03-28","NUSA TENGGARA TIMUR","x46_59",2310
"2021-03-28","NUSA TENGGARA TIMUR","x60_up",1100
"2021-03-28","NUSA TENGGARA TIMUR","tidak_diketahui",206
"2021-03-28","SULAWESI TENGAH","x0_5",215
"2021-03-28","SULAWESI TENGAH","x6_18",711
"2021-03-28","SULAWESI TENGAH","x19_30",3257
"2021-03-28","SULAWESI TENGAH","x31_45",3570
"2021-03-28","SULAWESI TENGAH","x46_59",2058
"2021-03-28","SULAWESI TENGAH","x60_up",930
"2021-03-28","SULAWESI TENGAH","tidak_diketahui",367
"2021-03-28","KALIMANTAN UTARA","x0_5",217
"2021-03-28","KALIMANTAN UTARA","x6_18",1117
"2021-03-28","KALIMANTAN UTARA","x19_30",3217
"2021-03-28","KALIMANTAN UTARA","x31_45",3674
"2021-03-28","KALIMANTAN UTARA","x46_59",2029
"2021-03-28","KALIMANTAN UTARA","x60_up",740
"2021-03-28","KALIMANTAN UTARA","tidak_diketahui",64
"2021-03-28","SULAWESI TENGGARA","x0_5",173
"2021-03-28","SULAWESI TENGGARA","x6_18",662
"2021-03-28","SULAWESI TENGGARA","x19_30",3248
"2021-03-28","SULAWESI TENGGARA","x31_45",3520
"2021-03-28","SULAWESI TENGGARA","x46_59",1800
"2021-03-28","SULAWESI TENGGARA","x60_up",730
"2021-03-28","SULAWESI TENGGARA","tidak_diketahui",116
"2021-03-28","ACEH","x0_5",199
"2021-03-28","ACEH","x6_18",533
"2021-03-28","ACEH","x19_30",2312
"2021-03-28","ACEH","x31_45",3420
"2021-03-28","ACEH","x46_59",2311
"2021-03-28","ACEH","x60_up",1050
"2021-03-28","ACEH","tidak_diketahui",20
"2021-03-28","NUSA TENGGARA BARAT","x0_5",245
"2021-03-28","NUSA TENGGARA BARAT","x6_18",607
"2021-03-28","NUSA TENGGARA BARAT","x19_30",2652
"2021-03-28","NUSA TENGGARA BARAT","x31_45",3041
"2021-03-28","NUSA TENGGARA BARAT","x46_59",1856
"2021-03-28","NUSA TENGGARA BARAT","x60_up",1035
"2021-03-28","NUSA TENGGARA BARAT","tidak_diketahui",24
"2021-03-28","KEPULAUAN BANGKA BELITUNG","x0_5",406
"2021-03-28","KEPULAUAN BANGKA BELITUNG","x6_18",1434
"2021-03-28","KEPULAUAN BANGKA BELITUNG","x19_30",2178
"2021-03-28","KEPULAUAN BANGKA BELITUNG","x31_45",2684
"2021-03-28","KEPULAUAN BANGKA BELITUNG","x46_59",1646
"2021-03-28","KEPULAUAN BANGKA BELITUNG","x60_up",777
"2021-03-28","KEPULAUAN BANGKA BELITUNG","tidak_diketahui",19
"2021-03-28","KEPULAUAN RIAU","x0_5",261
"2021-03-28","KEPULAUAN RIAU","x6_18",821
"2021-03-28","KEPULAUAN RIAU","x19_30",2647
"2021-03-28","KEPULAUAN RIAU","x31_45",2934
"2021-03-28","KEPULAUAN RIAU","x46_59",1793
"2021-03-28","KEPULAUAN RIAU","x60_up",591
"2021-03-28","KEPULAUAN RIAU","tidak_diketahui",96
"2021-03-28","PAPUA BARAT","x0_5",260
"2021-03-28","PAPUA BARAT","x6_18",779
"2021-03-28","PAPUA BARAT","x19_30",2619
"2021-03-28","PAPUA BARAT","x31_45",2743
"2021-03-28","PAPUA BARAT","x46_59",1303
"2021-03-28","PAPUA BARAT","x60_up",520
"2021-03-28","PAPUA BARAT","tidak_diketahui",40
"2021-03-28","MALUKU","x0_5",89
"2021-03-28","MALUKU","x6_18",584
"2021-03-28","MALUKU","x19_30",2048
"2021-03-28","MALUKU","x31_45",2589
"2021-03-28","MALUKU","x46_59",1394
"2021-03-28","MALUKU","x60_up",430
"2021-03-28","MALUKU","tidak_diketahui",206
"2021-03-28","JAMBI","x0_5",180
"2021-03-28","JAMBI","x6_18",806
"2021-03-28","JAMBI","x19_30",1609
"2021-03-28","JAMBI","x31_45",1754
"2021-03-28","JAMBI","x46_59",1242
"2021-03-28","JAMBI","x60_up",480
"2021-03-28","JAMBI","tidak_diketahui",61
"2021-03-28","KALIMANTAN BARAT","x0_5",135
"2021-03-28","KALIMANTAN BARAT","x6_18",561
"2021-03-28","KALIMANTAN BARAT","x19_30",1483
"2021-03-28","KALIMANTAN BARAT","x31_45",1663
"2021-03-28","KALIMANTAN BARAT","x46_59",1310
"2021-03-28","KALIMANTAN BARAT","x60_up",576
"2021-03-28","KALIMANTAN BARAT","tidak_diketahui",81
"2021-03-28","BENGKULU","x0_5",117
"2021-03-28","BENGKULU","x6_18",497
"2021-03-28","BENGKULU","x19_30",1258
"2021-03-28","BENGKULU","x31_45",1722
"2021-03-28","BENGKULU","x46_59",1153
"2021-03-28","BENGKULU","x60_up",594
"2021-03-28","BENGKULU","tidak_diketahui",23
"2021-03-28","SULAWESI BARAT","x0_5",90
"2021-03-28","SULAWESI BARAT","x6_18",802
"2021-03-28","SULAWESI BARAT","x19_30",1526
"2021-03-28","SULAWESI BARAT","x31_45",1747
"2021-03-28","SULAWESI BARAT","x46_59",788
"2021-03-28","SULAWESI BARAT","x60_up",393
"2021-03-28","SULAWESI BARAT","tidak_diketahui",17
"2021-03-28","GORONTALO","x0_5",84
"2021-03-28","GORONTALO","x6_18",251
"2021-03-28","GORONTALO","x19_30",1649
"2021-03-28","GORONTALO","x31_45",1765
"2021-03-28","GORONTALO","x46_59",974
"2021-03-28","GORONTALO","x60_up",352
"2021-03-28","GORONTALO","tidak_diketahui",44
"2021-03-28","MALUKU UTARA","x0_5",71
"2021-03-28","MALUKU UTARA","x6_18",241
"2021-03-28","MALUKU UTARA","x19_30",1264
"2021-03-28","MALUKU UTARA","x31_45",1481
"2021-03-28","MALUKU UTARA","x46_59",722
"2021-03-28","MALUKU UTARA","x60_up",269
"2021-03-28","MALUKU UTARA","tidak_diketahui",256
