"tanggal","provinsi","0-5","6-18","19-30","31-45","45-59",">=60","tidak diketahui"
"2021-03-24","ACEH",198,533,2301,3406,2295,1037,21
"2021-03-28","ACEH",199,533,2312,3420,2311,1050,20
"2021-04-07","ACEH",200,546,2332,3475,2343,1069,20
"2021-04-12","ACEH",203,555,2358,3504,2377,1089,20
"2021-04-15","ACEH",203,560,2376,3539,2396,1106,20
"2021-04-16","ACEH",204,562,2377,3543,2409,1107,20
"2021-04-17","ACEH",205,566,2380,3556,2417,1113,20
"2021-04-18","ACEH",205,566,2391,3564,2429,1125,20
"2021-04-19","ACEH",205,568,2391,3570,2432,1127,20
"2021-04-20","ACEH",206,569,2401,3587,2445,1137,20
"2021-04-21","ACEH",207,576,2417,3601,2463,1145,20
"2021-04-22","ACEH",208,578,2440,3627,2479,1164,20
"2021-04-23","ACEH",211,582,2464,3649,2502,1179,20
"2021-04-24","ACEH",213,585,2469,3666,2513,1187,20
"2021-04-25","ACEH",216,584,2475,3672,2518,1192,20
"2021-04-26","ACEH",216,585,2491,3688,2541,1203,20
"2021-04-27","ACEH",217,588,2503,3710,2560,1216,20
"2021-04-30","ACEH",222,598,2541,3773,2628,1263,20
"2021-05-01","ACEH",225,611,2573,3799,2655,1286,20
"2021-05-02","ACEH",225,616,2579,3818,2671,1308,20
"2021-05-04","ACEH",228,631,2612,3862,2702,1336,20
"2021-05-06","ACEH",230,641,2651,3913,2758,1376,20
"2021-05-08","ACEH",236,652,2701,3973,2807,1413,20
"2021-05-10","ACEH",237,656,2715,3998,2843,1429,20
"2021-05-13","ACEH",239,669,2768,4075,2893,1488,20
"2021-05-14","ACEH",239,669,2769,4076,2894,1490,20
"2021-05-16","ACEH",241,672,2785,4094,2926,1511,20
"2021-05-19","ACEH",245,700,2834,4192,3027,1597,20
"2021-05-25","ACEH",255,753,3021,4473,3268,1791,20
"2021-05-26","ACEH",256,769,3075,4563,3330,1835,20
"2021-05-29","ACEH",263,816,3231,4836,3513,1952,20
"2021-05-31","ACEH",272,835,3307,4974,3598,2011,20
"2021-06-02","ACEH",276,851,3356,5044,3647,2046,20
"2021-06-10","ACEH",285,927,3691,5541,4030,2331,20
"2021-06-12","ACEH",288,946,3767,5655,4118,2423,20
"2021-06-13","ACEH",288,953,3801,5697,4170,2447,20
"2021-03-24","BALI",842,3182,9335,9908,9757,5036,466
"2021-03-28","BALI",858,3233,9480,10085,9908,5141,466
"2021-04-07","BALI",884,3372,9841,10555,10456,5480,466
"2021-04-12","BALI",897,3440,10044,10776,10664,5617,465
"2021-04-15","BALI",910,3484,10130,10892,10780,5715,465
"2021-04-16","BALI",913,3505,10182,10940,10835,5747,465
"2021-04-17","BALI",915,3516,10216,10970,10889,5785,465
"2021-04-18","BALI",919,3531,10242,11012,10934,5825,465
"2021-04-19","BALI",921,3539,10280,11049,10975,5853,465
"2021-04-20","BALI",927,3549,10332,11096,11030,5890,465
"2021-04-21","BALI",930,3560,10379,11135,11089,5927,465
"2021-04-22","BALI",932,3574,10418,11178,11127,5959,465
"2021-04-23","BALI",933,3583,10439,11216,11162,5993,465
"2021-04-24","BALI",934,3593,10470,11250,11188,6015,465
"2021-04-25","BALI",936,3600,10479,11268,11205,6028,465
"2021-04-26","BALI",937,3604,10497,11298,11239,6046,465
"2021-04-27","BALI",940,3608,10520,11330,11292,6081,465
"2021-04-30","BALI",945,3628,10610,11438,11414,6171,465
"2021-05-01","BALI",948,3634,10642,11465,11454,6205,465
"2021-05-02","BALI",952,3642,10655,11486,11479,6220,465
"2021-05-04","BALI",954,3660,10720,11550,11535,6270,465
"2021-05-06","BALI",960,3686,10782,11606,11610,6319,465
"2021-05-08","BALI",962,3708,10833,11655,11664,6368,465
"2021-05-10","BALI",965,3727,10873,11689,11712,6401,465
"2021-05-13","BALI",967,3748,10933,11762,11780,6469,465
"2021-05-14","BALI",967,3754,10951,11775,11784,6475,465
"2021-05-16","BALI",969,3764,10970,11802,11818,6502,465
"2021-05-19","BALI",972,3786,11021,11868,11889,6554,465
"2021-05-25","BALI",985,3826,11111,11963,11985,6638,465
"2021-05-26","BALI",988,3836,11117,11974,12002,6650,465
"2021-05-29","BALI",993,3846,11152,11996,12044,6677,465
"2021-05-31","BALI",995,3849,11167,12019,12070,6694,465
"2021-06-02","BALI",995,3852,11182,12034,12082,6710,465
"2021-06-10","BALI",1441,3876,11257,12123,12164,6780,1
"2021-06-12","BALI",1444,3876,11268,12126,12167,6785,44
"2021-06-13","BALI",1444,3879,11282,12135,12177,6793,44
"2021-03-24","BANTEN",941,3545,8906,10743,8388,2970,103
"2021-03-28","BANTEN",954,3626,9047,10906,8502,3024,103
"2021-04-07","BANTEN",1065,4385,10905,13386,10714,3915,164
"2021-04-12","BANTEN",1082,4460,11127,13606,10885,4005,168
"2021-04-15","BANTEN",1095,4495,11198,13711,10975,4041,168
"2021-04-16","BANTEN",1103,4520,11232,13751,11000,4061,168
"2021-04-17","BANTEN",1110,4534,11256,13779,11019,4071,168
"2021-04-18","BANTEN",1111,4540,11268,13792,11034,4074,168
"2021-04-19","BANTEN",1113,4554,11290,13807,11053,4077,168
"2021-04-20","BANTEN",1117,4577,11315,13835,11072,4087,168
"2021-04-21","BANTEN",1118,4587,11334,13855,11086,4094,167
"2021-04-22","BANTEN",1121,4599,11364,13882,11103,4107,167
"2021-04-23","BANTEN",1125,4621,11408,13935,11139,4121,167
"2021-04-24","BANTEN",1128,4623,11429,13943,11161,4123,167
"2021-04-25","BANTEN",1131,4635,11447,13964,11180,4130,167
"2021-04-26","BANTEN",1141,4667,11497,14023,11232,4147,167
"2021-04-27","BANTEN",1151,4689,11555,14084,11298,4157,167
"2021-04-30","BANTEN",1158,4715,11619,14139,11362,4183,167
"2021-05-01","BANTEN",1162,4721,11634,14151,11374,4187,167
"2021-05-02","BANTEN",1166,4728,11647,14164,11385,4194,167
"2021-05-04","BANTEN",1176,4764,11704,14229,11428,4221,167
"2021-05-06","BANTEN",1178,4778,11741,14266,11462,4235,167
"2021-05-08","BANTEN",1180,4802,11766,14308,11500,4253,167
"2021-05-10","BANTEN",1186,4823,11803,14355,11529,4266,167
"2021-05-13","BANTEN",1189,4844,11843,14413,11568,4276,168
"2021-05-14","BANTEN",1190,4851,11856,14419,11576,4280,168
"2021-05-16","BANTEN",1194,4868,11875,14439,11595,4289,168
"2021-05-19","BANTEN",1202,4890,11909,14467,11622,4305,168
"2021-05-25","BANTEN",1213,4924,12005,14565,11714,4363,168
"2021-05-26","BANTEN",1216,4928,12016,14574,11723,4371,168
"2021-05-29","BANTEN",1230,4958,12099,14636,11789,4397,168
"2021-05-31","BANTEN",1241,4988,12148,14695,11827,4409,168
"2021-06-02","BANTEN",1247,5021,12194,14743,11869,4422,168
"2021-06-10","BANTEN",1280,5174,12424,14972,12069,4488,168
"2021-06-12","BANTEN",1307,5230,12555,15070,12156,4517,168
"2021-06-13","BANTEN",1317,5262,12593,15132,12198,4531,168
"2021-03-24","BENGKULU",115,492,1247,1714,1142,584,23
"2021-03-28","BENGKULU",117,497,1258,1722,1153,594,23
"2021-04-07","BENGKULU",120,522,1317,1800,1212,624,24
"2021-04-12","BENGKULU",126,540,1346,1864,1253,648,24
"2021-04-15","BENGKULU",127,544,1360,1888,1284,660,24
"2021-04-16","BENGKULU",127,547,1374,1905,1299,666,24
"2021-04-17","BENGKULU",127,554,1391,1921,1310,669,24
"2021-04-18","BENGKULU",131,568,1412,1946,1335,674,25
"2021-04-19","BENGKULU",131,571,1418,1956,1340,677,25
"2021-04-20","BENGKULU",133,576,1427,1970,1350,687,25
"2021-04-21","BENGKULU",134,585,1439,1993,1378,700,25
"2021-04-22","BENGKULU",134,586,1446,1997,1386,700,25
"2021-04-23","BENGKULU",135,594,1470,2017,1406,716,26
"2021-04-24","BENGKULU",136,597,1476,2032,1419,718,26
"2021-04-25","BENGKULU",137,611,1497,2069,1447,731,26
"2021-04-26","BENGKULU",137,614,1512,2080,1458,733,26
"2021-04-27","BENGKULU",138,629,1529,2097,1470,741,26
"2021-04-30","BENGKULU",144,638,1559,2145,1505,765,26
"2021-05-01","BENGKULU",148,654,1580,2170,1531,775,26
"2021-05-02","BENGKULU",149,661,1599,2191,1552,781,26
"2021-05-04","BENGKULU",151,670,1609,2203,1571,790,26
"2021-05-06","BENGKULU",152,674,1632,2229,1590,802,26
"2021-05-08","BENGKULU",158,694,1657,2272,1616,823,26
"2021-05-10","BENGKULU",158,704,1675,2288,1620,830,26
"2021-05-13","BENGKULU",162,710,1696,2309,1652,847,26
"2021-05-14","BENGKULU",162,711,1704,2319,1655,854,26
"2021-05-16","BENGKULU",162,711,1706,2321,1658,859,26
"2021-05-19","BENGKULU",163,722,1719,2331,1677,869,27
"2021-05-25","BENGKULU",165,745,1812,2414,1734,896,27
"2021-05-26","BENGKULU",166,748,1820,2420,1739,900,27
"2021-05-29","BENGKULU",169,779,1862,2466,1761,922,27
"2021-05-31","BENGKULU",170,792,1882,2491,1780,932,27
"2021-06-02","BENGKULU",173,799,1892,2509,1787,940,27
"2021-06-10","BENGKULU",177,828,1968,2604,1863,990,28
"2021-06-12","BENGKULU",182,835,1999,2624,1891,1006,28
"2021-06-13","BENGKULU",186,839,2024,2664,1910,1017,28
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA",1086,3336,7171,7710,7597,4558,596
"2021-03-28","DAERAH ISTIMEWA YOGYAKARTA",1123,3406,7331,7893,7782,4680,596
"2021-04-07","DAERAH ISTIMEWA YOGYAKARTA",1198,3608,7743,8368,8252,5018,596
"2021-04-12","DAERAH ISTIMEWA YOGYAKARTA",1247,3734,7941,8554,8482,5162,596
"2021-04-15","DAERAH ISTIMEWA YOGYAKARTA",1279,3813,8106,8720,8660,5287,596
"2021-04-16","DAERAH ISTIMEWA YOGYAKARTA",1289,3843,8141,8771,8715,5324,596
"2021-04-17","DAERAH ISTIMEWA YOGYAKARTA",1297,3859,8174,8813,8745,5353,596
"2021-04-18","DAERAH ISTIMEWA YOGYAKARTA",1302,3876,8197,8846,8776,5387,596
"2021-04-19","DAERAH ISTIMEWA YOGYAKARTA",1311,3908,8225,8884,8814,5412,596
"2021-04-20","DAERAH ISTIMEWA YOGYAKARTA",1321,3938,8268,8928,8859,5450,596
"2021-04-21","DAERAH ISTIMEWA YOGYAKARTA",1329,3963,8320,8973,8922,5486,596
"2021-04-22","DAERAH ISTIMEWA YOGYAKARTA",1341,3991,8383,9025,8974,5536,596
"2021-04-23","DAERAH ISTIMEWA YOGYAKARTA",1348,4010,8400,9058,9015,5556,596
"2021-04-24","DAERAH ISTIMEWA YOGYAKARTA",1351,4025,8431,9091,9054,5584,596
"2021-04-25","DAERAH ISTIMEWA YOGYAKARTA",1360,4054,8485,9134,9111,5615,596
"2021-04-26","DAERAH ISTIMEWA YOGYAKARTA",1370,4082,8515,9178,9153,5645,596
"2021-04-27","DAERAH ISTIMEWA YOGYAKARTA",1371,4094,8547,9215,9197,5683,596
"2021-04-30","DAERAH ISTIMEWA YOGYAKARTA",1405,4213,8721,9387,9373,5821,596
"2021-05-01","DAERAH ISTIMEWA YOGYAKARTA",1411,4224,8739,9414,9403,5857,596
"2021-05-02","DAERAH ISTIMEWA YOGYAKARTA",1420,4253,8777,9448,9437,5893,596
"2021-05-04","DAERAH ISTIMEWA YOGYAKARTA",1438,4284,8830,9517,9515,5960,596
"2021-05-06","DAERAH ISTIMEWA YOGYAKARTA",1458,4353,8931,9600,9608,6055,596
"2021-05-08","DAERAH ISTIMEWA YOGYAKARTA",1466,4385,9008,9669,9673,6125,596
"2021-05-10","DAERAH ISTIMEWA YOGYAKARTA",1471,4421,9060,9726,9749,6181,596
"2021-05-13","DAERAH ISTIMEWA YOGYAKARTA",1489,4492,9147,9823,9863,6270,596
"2021-05-14","DAERAH ISTIMEWA YOGYAKARTA",1492,4502,9161,9842,9891,6293,596
"2021-05-16","DAERAH ISTIMEWA YOGYAKARTA",1500,4532,9195,9892,9940,6350,597
"2021-05-19","DAERAH ISTIMEWA YOGYAKARTA",1524,4604,9307,9989,10046,6456,598
"2021-05-25","DAERAH ISTIMEWA YOGYAKARTA",1569,4757,9546,10234,10295,6646,598
"2021-05-26","DAERAH ISTIMEWA YOGYAKARTA",1577,4787,9585,10274,10336,6678,598
"2021-05-29","DAERAH ISTIMEWA YOGYAKARTA",1601,4886,9689,10416,10461,6761,598
"2021-05-31","DAERAH ISTIMEWA YOGYAKARTA",1614,4929,9753,10486,10539,6820,605
"2021-06-02","DAERAH ISTIMEWA YOGYAKARTA",1628,4999,9870,10582,10649,6897,608
"2021-06-10","DAERAH ISTIMEWA YOGYAKARTA",1727,5296,10375,11085,11143,7196,610
"2021-06-12","DAERAH ISTIMEWA YOGYAKARTA",1776,5405,10585,11268,11321,7320,610
"2021-06-13","DAERAH ISTIMEWA YOGYAKARTA",1796,5468,10715,11349,11396,7417,610
"2021-03-24","DKI JAKARTA",11378,31875,94747,109634,78548,40468,7111
"2021-03-28","DKI JAKARTA",11618,32473,96300,111366,79704,41107,7123
"2021-04-07","DKI JAKARTA",11929,33275,98551,113926,81380,42146,7131
"2021-04-12","DKI JAKARTA",12098,33715,99828,115397,82368,42753,7131
"2021-04-15","DKI JAKARTA",12192,33949,100564,116298,82925,43049,7132
"2021-04-16","DKI JAKARTA",12233,34042,100793,116609,83124,43155,7132
"2021-04-17","DKI JAKARTA",12266,34143,101078,116890,83343,43273,7132
"2021-04-18","DKI JAKARTA",12295,34232,101331,117170,83556,43359,7132
"2021-04-19","DKI JAKARTA",12322,34318,101603,117440,83763,43470,7132
"2021-04-20","DKI JAKARTA",12343,34360,101719,117573,83854,43527,7132
"2021-04-21","DKI JAKARTA",12358,34409,101898,117764,83969,43580,7132
"2021-04-22","DKI JAKARTA",12387,34494,102335,118196,84167,43665,7132
"2021-04-23","DKI JAKARTA",12409,34555,102578,118497,84350,43739,7132
"2021-04-24","DKI JAKARTA",12431,34616,102821,118798,84533,43813,7155
"2021-04-25","DKI JAKARTA",12471,34717,103050,119047,84711,43912,7155
"2021-04-26","DKI JAKARTA",12487,34771,103247,119291,84863,43998,7155
"2021-04-27","DKI JAKARTA",12497,34799,103349,119409,84958,44038,7155
"2021-04-30","DKI JAKARTA",12566,34995,103998,120125,85472,44309,7155
"2021-05-01","DKI JAKARTA",12601,35095,104233,120365,85683,44414,7155
"2021-05-02","DKI JAKARTA",12623,35158,104469,120630,85852,44513,7155
"2021-05-04","DKI JAKARTA",12676,35301,104769,120960,86071,44641,7155
"2021-05-06","DKI JAKARTA",12748,35466,105229,121501,86427,44796,7156
"2021-05-08","DKI JAKARTA",12824,35616,105611,121950,86733,44948,7156
"2021-05-10","DKI JAKARTA",12861,35739,106040,122418,87032,45086,7165
"2021-05-13","DKI JAKARTA",12945,35969,106504,122968,87391,45246,7165
"2021-05-14","DKI JAKARTA",12969,36014,106690,123168,87523,45291,7165
"2021-05-16","DKI JAKARTA",12984,36053,106794,123281,87611,45320,7165
"2021-05-19","DKI JAKARTA",13028,36157,107119,123647,87878,45465,7165
"2021-05-25","DKI JAKARTA",13163,36622,108392,125091,88854,45925,7165
"2021-05-26","DKI JAKARTA",13180,36670,108568,125257,88987,46002,7165
"2021-05-29","DKI JAKARTA",13259,36901,109194,126054,89448,46248,7165
"2021-05-31","DKI JAKARTA",13321,37052,109640,126600,89831,46450,7165
"2021-06-02","DKI JAKARTA",13360,37167,109938,126956,90037,46556,7165
"2021-06-10","DKI JAKARTA",13693,38157,112657,129845,91729,47308,7165
"2021-06-12","DKI JAKARTA",13905,38618,114034,131274,92609,47697,7165
"2021-06-13","DKI JAKARTA",14001,38909,114843,132134,93109,47906,7169
"2021-03-24","GORONTALO",84,249,1632,1755,961,349,45
"2021-03-28","GORONTALO",84,251,1649,1765,974,352,44
"2021-04-07","GORONTALO",86,261,1678,1788,999,369,44
"2021-04-12","GORONTALO",86,264,1688,1798,1006,372,44
"2021-04-15","GORONTALO",89,264,1694,1812,1019,375,44
"2021-04-16","GORONTALO",89,265,1694,1815,1020,377,44
"2021-04-17","GORONTALO",89,267,1696,1818,1022,380,44
"2021-04-18","GORONTALO",89,268,1700,1815,1023,384,44
"2021-04-19","GORONTALO",89,268,1700,1815,1023,384,44
"2021-04-20","GORONTALO",91,268,1702,1817,1025,385,44
"2021-04-21","GORONTALO",91,268,1702,1817,1025,385,44
"2021-04-22","GORONTALO",91,268,1705,1817,1025,388,44
"2021-04-23","GORONTALO",91,268,1705,1817,1027,388,44
"2021-04-24","GORONTALO",91,269,1706,1818,1029,389,44
"2021-04-25","GORONTALO",91,269,1706,1818,1029,389,44
"2021-04-26","GORONTALO",91,271,1707,1819,1033,390,44
"2021-04-27","GORONTALO",91,271,1707,1819,1033,390,44
"2021-04-30","GORONTALO",92,274,1717,1830,1041,396,44
"2021-05-01","GORONTALO",92,275,1719,1831,1042,397,44
"2021-05-02","GORONTALO",92,275,1719,1831,1042,397,44
"2021-05-04","GORONTALO",92,276,1720,1833,1043,399,44
"2021-05-06","GORONTALO",92,277,1724,1835,1048,402,44
"2021-05-08","GORONTALO",92,277,1724,1836,1048,403,44
"2021-05-10","GORONTALO",92,277,1724,1836,1048,403,44
"2021-05-13","GORONTALO",92,277,1725,1837,1053,404,44
"2021-05-14","GORONTALO",92,277,1725,1838,1053,404,44
"2021-05-16","GORONTALO",92,277,1725,1839,1055,404,44
"2021-05-19","GORONTALO",92,277,1729,1843,1057,407,44
"2021-05-25","GORONTALO",92,278,1740,1846,1060,412,44
"2021-05-26","GORONTALO",92,278,1740,1847,1060,412,44
"2021-05-29","GORONTALO",92,278,1743,1852,1068,414,44
"2021-05-31","GORONTALO",92,278,1749,1854,1071,418,44
"2021-06-02","GORONTALO",92,279,1750,1854,1072,419,44
"2021-06-10","GORONTALO",93,279,1757,1870,1076,425,44
"2021-06-12","GORONTALO",95,283,1758,1872,1076,425,44
"2021-06-13","GORONTALO",95,283,1759,1874,1077,425,44
"2021-03-24","JAMBI",176,755,1573,1718,1216,472,61
"2021-03-28","JAMBI",180,806,1609,1754,1242,480,61
"2021-04-07","JAMBI",197,856,1706,1862,1316,514,61
"2021-04-12","JAMBI",199,899,1739,1888,1336,523,61
"2021-04-15","JAMBI",202,914,1788,1911,1371,538,61
"2021-04-16","JAMBI",203,918,1799,1928,1384,545,61
"2021-04-17","JAMBI",204,924,1826,1947,1395,549,61
"2021-04-18","JAMBI",208,932,1839,1958,1401,555,61
"2021-04-19","JAMBI",208,932,1846,1961,1409,562,61
"2021-04-20","JAMBI",211,938,1866,1984,1421,572,61
"2021-04-21","JAMBI",212,946,1881,1997,1437,575,61
"2021-04-22","JAMBI",213,951,1890,2030,1462,589,61
"2021-04-23","JAMBI",213,956,1906,2034,1477,592,61
"2021-04-24","JAMBI",213,965,1919,2050,1496,600,61
"2021-04-25","JAMBI",213,967,1927,2058,1503,604,61
"2021-04-26","JAMBI",214,975,1932,2069,1514,610,61
"2021-04-27","JAMBI",215,979,1942,2075,1524,611,61
"2021-04-30","JAMBI",217,1045,1981,2133,1584,649,61
"2021-05-01","JAMBI",219,1057,1989,2153,1596,655,61
"2021-05-02","JAMBI",224,1064,2012,2173,1607,667,61
"2021-05-04","JAMBI",227,1108,2030,2206,1631,677,61
"2021-05-06","JAMBI",232,1130,2073,2263,1671,695,62
"2021-05-08","JAMBI",240,1145,2115,2314,1707,718,62
"2021-05-10","JAMBI",243,1170,2149,2359,1733,731,62
"2021-05-13","JAMBI",245,1185,2182,2402,1760,749,62
"2021-05-14","JAMBI",246,1193,2196,2423,1778,751,62
"2021-05-16","JAMBI",246,1197,2203,2431,1781,751,62
"2021-05-19","JAMBI",250,1208,2219,2452,1789,762,62
"2021-05-25","JAMBI",259,1251,2325,2560,1882,806,62
"2021-05-26","JAMBI",263,1259,2342,2586,1898,812,62
"2021-05-29","JAMBI",268,1287,2402,2641,1942,836,62
"2021-05-31","JAMBI",272,1306,2453,2689,1980,850,62
"2021-06-02","JAMBI",282,1331,2492,2728,2007,862,62
"2021-06-10","JAMBI",311,1453,2717,2970,2177,956,62
"2021-06-12","JAMBI",315,1484,2776,3044,2222,979,62
"2021-06-13","JAMBI",318,1495,2812,3087,2250,991,62
"2021-03-24","JAWA BARAT",8089,28012,58587,67580,51711,21758,8012
"2021-03-28","JAWA BARAT",8195,28380,59277,68374,52452,22110,8000
"2021-04-07","JAWA BARAT",8444,29273,61264,70619,54455,23190,7985
"2021-04-12","JAWA BARAT",8645,29942,62356,71803,55557,23761,7985
"2021-04-15","JAWA BARAT",8794,30481,63410,72923,56442,24254,7984
"2021-04-16","JAWA BARAT",8833,30572,63625,73207,56681,24384,7984
"2021-04-17","JAWA BARAT",8861,30680,63800,73429,56869,24495,7984
"2021-04-18","JAWA BARAT",8878,30760,63990,73617,57055,24603,7984
"2021-04-19","JAWA BARAT",8929,30964,64322,73977,57374,24758,7984
"2021-04-20","JAWA BARAT",8961,31126,64678,74313,57711,24934,7984
"2021-04-21","JAWA BARAT",8997,31235,64928,74588,57911,25068,7984
"2021-04-22","JAWA BARAT",9033,31371,65272,74965,58220,25224,7984
"2021-04-23","JAWA BARAT",9069,31495,65519,75258,58469,25343,7982
"2021-04-24","JAWA BARAT",9094,31565,65698,75422,58607,25397,7982
"2021-04-25","JAWA BARAT",9111,31644,65840,75640,58774,25457,7982
"2021-04-26","JAWA BARAT",9193,31928,66243,76161,59208,25673,7983
"2021-04-27","JAWA BARAT",9222,32032,66477,76481,59529,25830,7982
"2021-04-30","JAWA BARAT",9351,32486,67261,77438,60391,26298,7980
"2021-05-01","JAWA BARAT",9373,32567,67427,77633,60570,26409,7980
"2021-05-02","JAWA BARAT",9396,32652,67584,77792,60736,26491,7980
"2021-05-04","JAWA BARAT",9467,32903,68038,78332,61265,26852,7978
"2021-05-06","JAWA BARAT",9529,33103,68482,78891,61768,27118,7977
"2021-05-08","JAWA BARAT",9687,33680,69491,79954,62680,27560,7978
"2021-05-10","JAWA BARAT",9743,33817,69868,80380,63043,27763,7978
"2021-05-13","JAWA BARAT",9812,34115,70479,81045,63632,28119,7977
"2021-05-14","JAWA BARAT",9833,34190,70632,81188,63744,28189,8013
"2021-05-16","JAWA BARAT",9894,34364,70943,81575,64090,28419,8019
"2021-05-19","JAWA BARAT",10003,34752,71750,82579,65079,28965,7875
"2021-05-25","JAWA BARAT",10209,35499,73306,84399,66701,29851,7866
